,carat,cut,color,clarity,depth,table,price,x,y,z,class
0,0.3,Ideal,E,VVS1,61.7,58.0,862,4.28,4.31,2.65,accept
1,0.7,Good,F,VVS2,63.1,58.0,2721,5.6,5.66,3.55,accept
2,0.74,Very Good,E,VVS1,63.5,58.0,3993,5.78,5.72,3.65,accept
3,0.37,Very Good,E,VS2,58.9,61.0,811,4.66,4.68,2.75,accept
4,0.55,Very Good,E,VVS2,59.9,58.0,2656,5.29,5.33,3.18,accept
5,0.41,Ideal,E,VVS1,61.3,56.0,1367,4.79,4.81,2.94,accept
6,1.1,Ideal,I,VS2,61.8,55.4,5273,6.62,6.65,4.1,reject
7,0.3,Very Good,I,VS1,58.8,61.0,473,4.38,4.43,2.59,reject
8,0.66,Ideal,F,VS2,62.4,54.0,2648,5.55,5.61,3.48,accept
9,0.23,Very Good,E,VVS2,61.1,58.0,465,3.95,4.01,2.43,accept
10,0.53,Ideal,F,VVS1,61.4,57.0,2834,5.2,5.23,3.2,accept
11,1.31,Premium,H,SI2,61.7,59.0,4548,7.03,6.98,4.32,reject
12,0.9,Premium,G,VS2,61.8,60.0,4386,6.16,6.21,3.82,reject
13,0.56,Ideal,E,VS2,60.7,57.0,1819,5.31,5.34,3.23,accept
14,0.35,Ideal,F,VS2,62.3,55.0,706,4.53,4.56,2.83,accept
15,1.59,Premium,I,VS2,62.9,56.0,10471,7.48,7.43,4.69,reject
16,0.32,Ideal,D,VVS2,61.7,55.0,1014,4.42,4.39,2.72,accept
17,0.44,Ideal,G,SI1,61.5,57.0,990,4.88,4.87,3.0,reject
18,0.53,Good,J,VS2,63.3,56.0,1023,5.12,5.18,3.26,reject
19,0.5,Ideal,H,SI1,61.7,58.0,1035,5.07,5.11,3.14,reject
20,0.37,Very Good,G,VS2,60.7,57.0,649,4.64,4.69,2.83,reject
21,0.52,Ideal,G,VS1,62.7,57.0,1689,5.12,5.15,3.22,reject
22,0.32,Premium,G,VVS2,62.3,58.0,730,4.35,4.38,2.72,reject
23,0.54,Ideal,D,VS2,62.6,57.0,1993,5.24,5.18,3.26,accept
24,0.31,Ideal,F,VS2,62.6,55.0,625,4.29,4.33,2.7,accept
25,0.38,Good,F,VS2,56.2,61.0,873,4.84,4.87,2.73,accept
26,0.37,Very Good,G,VS1,58.3,62.0,696,4.72,4.75,2.76,reject
27,0.5,Ideal,F,IF,60.6,58.0,2529,5.13,5.16,3.12,accept
28,0.33,Ideal,H,VVS2,61.6,55.0,633,4.48,4.51,2.77,reject
29,0.9,Good,F,VS1,62.8,60.0,4898,6.11,6.15,3.85,reject
30,1.01,Premium,H,I1,58.4,60.0,2206,6.53,6.48,3.8,reject
31,0.57,Premium,D,VS1,60.9,57.0,2093,5.43,5.37,3.29,accept
32,0.46,Very Good,E,VS2,61.3,57.0,1081,4.99,5.02,3.07,accept
33,0.55,Ideal,E,SI1,62.1,55.0,1668,5.26,5.21,3.25,reject
34,0.7,Premium,F,VVS2,58.7,60.0,3062,5.8,5.75,3.39,accept
35,0.71,Ideal,I,VS2,61.6,57.0,2582,5.7,5.62,3.49,reject
36,1.01,Very Good,G,VS2,63.1,57.0,5939,6.39,6.35,4.02,reject
37,0.3,Very Good,E,VS2,60.7,63.0,612,4.32,4.35,2.63,accept
38,0.35,Ideal,D,SI1,60.8,55.0,827,4.59,4.56,2.78,reject
39,1.66,Very Good,G,SI2,58.5,62.0,9123,7.73,7.79,4.54,reject
40,0.71,Very Good,I,VVS2,61.9,58.0,2137,5.72,5.75,3.55,reject
41,0.3,Ideal,G,VVS1,62.2,57.0,764,4.3,4.32,2.68,reject
42,0.57,Ideal,E,VVS2,62.1,54.6,2442,5.31,5.35,3.31,accept
43,2.21,Premium,F,SI2,59.6,60.0,16657,8.53,8.49,5.07,reject
44,0.51,Ideal,D,VS2,61.9,55.0,1882,5.13,5.11,3.17,accept
45,0.51,Premium,F,VVS1,62.6,57.0,2341,5.1,5.06,3.18,accept
46,0.34,Premium,E,SI1,60.7,60.0,596,4.48,4.51,2.73,reject
47,0.58,Very Good,F,VS2,60.7,63.0,1914,5.39,5.36,3.26,accept
48,0.61,Premium,D,VS1,61.5,58.0,2306,5.46,5.4,3.34,accept
49,1.3,Fair,J,SI1,66.0,57.1,5488,6.73,6.82,4.45,reject
50,0.32,Ideal,F,VS2,62.5,56.0,645,4.37,4.43,2.75,accept
51,0.4,Premium,E,VS2,61.9,59.0,912,4.72,4.75,2.93,accept
52,0.3,Premium,E,SI1,61.3,60.0,526,4.24,4.28,2.61,reject
53,0.3,Premium,E,VVS2,61.8,58.0,789,4.26,4.29,2.64,accept
54,0.3,Ideal,E,VVS2,61.1,55.0,837,4.34,4.37,2.66,accept
55,0.73,Very Good,F,VVS2,62.1,57.0,3705,5.74,5.76,3.57,accept
