,carat,cut,color,clarity,depth,table,price,x,y,z
0,1.1,Premium,G,VS2,60.2,58.0,6653,6.75,6.71,4.05
1,0.9,Ideal,H,SI2,61.9,55.0,4101,6.21,6.19,3.84
2,1.66,Ideal,H,VS1,61.5,56.0,15210,7.6,7.66,4.69
3,0.35,Very Good,G,VS1,61.5,60.0,676,4.51,4.57,2.79
4,1.04,Ideal,H,SI1,62.5,57.0,4648,6.5,6.46,4.05
5,0.32,Ideal,G,VVS2,61.7,57.0,730,4.41,4.44,2.73
6,1.04,Fair,G,SI2,65.2,57.0,2745,6.25,6.23,4.07
7,0.41,Very Good,E,SI2,63.0,57.0,638,4.7,4.73,2.97
8,1.54,Premium,G,SI2,62.4,57.0,8969,7.39,7.36,4.6
9,1.51,Good,I,VS2,63.7,58.0,9116,7.23,7.21,4.6
10,1.01,Ideal,F,SI1,62.0,54.0,5527,6.41,6.49,4.0
11,1.7,Premium,F,SI2,58.5,60.0,9330,7.87,7.8,4.58
12,0.81,Very Good,I,VS1,63.2,59.0,2655,5.9,5.84,3.71
13,0.43,Premium,G,VVS1,60.3,58.0,1264,4.91,4.87,2.95
14,0.37,Ideal,G,VS2,61.5,56.0,833,4.64,4.59,2.84
15,0.4,Ideal,D,SI1,62.1,56.0,772,4.7,4.74,2.93
16,1.21,Ideal,D,VS1,60.1,60.0,11019,6.92,6.99,4.18
17,0.29,Ideal,H,VVS2,61.7,56.0,511,4.29,4.33,2.66
18,2.01,Fair,G,SI2,65.9,57.0,10887,7.85,7.78,5.15
19,1.51,Fair,I,VS2,64.8,60.0,8879,7.18,7.1,4.63
20,0.51,Ideal,G,VVS2,62.0,57.0,1750,5.1,5.13,3.17
21,2.27,Premium,J,VS1,62.4,58.0,17149,8.41,8.36,5.23
22,0.32,Very Good,G,VVS1,60.9,61.0,842,4.37,4.4,2.67
23,1.18,Ideal,H,SI1,61.5,57.0,6440,6.78,6.82,4.18
24,0.77,Premium,I,VS2,61.6,58.0,2275,5.92,5.96,3.66
25,1.03,Very Good,F,SI2,63.1,57.0,3668,6.42,6.38,4.04
26,1.08,Good,D,SI1,63.8,59.0,5821,6.39,6.47,4.1
27,1.2,Ideal,D,SI1,61.8,58.0,7508,6.76,6.83,4.2
28,0.98,Fair,F,SI1,61.8,66.0,3622,6.38,6.27,3.91
29,1.02,Premium,G,VS2,62.5,58.0,6301,6.41,6.46,4.02
30,0.5,Good,E,VS1,58.2,61.0,1806,5.19,5.22,3.03
31,1.06,Premium,E,VS1,59.1,58.0,6669,6.66,6.71,3.95
32,0.7,Premium,G,I1,59.2,61.0,1115,5.76,5.7,3.39
33,1.05,Ideal,J,SI2,62.3,54.0,4126,6.52,6.55,4.07
34,1.1,Ideal,G,SI1,61.6,56.0,6837,6.62,6.65,4.08
35,0.55,Ideal,G,IF,61.1,57.0,2383,5.26,5.31,3.23
36,0.73,Ideal,H,SI2,62.3,56.0,2278,5.78,5.72,3.58
37,0.41,Very Good,E,SI1,62.8,59.0,755,4.74,4.75,2.98
38,0.78,Good,H,VS2,63.7,60.0,2440,5.77,5.73,3.66
39,1.34,Premium,F,VS2,61.1,58.0,10431,7.12,7.05,4.33
40,1.24,Premium,D,VS2,59.3,58.0,9916,7.09,7.03,4.19
41,1.0,Premium,E,VS2,61.5,58.0,6720,6.42,6.39,3.94
42,0.4,Ideal,I,VVS1,62.3,56.0,854,4.67,4.7,2.92
43,1.54,Premium,I,SI2,60.1,61.0,7727,7.46,7.41,4.47
44,2.14,Premium,E,SI2,61.5,58.0,18291,8.31,8.24,5.09
45,0.41,Ideal,I,VVS1,61.8,55.0,863,4.76,4.79,2.95
46,0.34,Ideal,G,VS2,62.9,55.0,765,4.52,4.45,2.82
47,0.43,Ideal,G,VS1,61.6,55.1,1005,4.85,4.89,3.0
48,0.42,Ideal,D,SI1,61.9,57.0,810,4.77,4.82,2.97
49,0.7,Premium,F,SI1,60.8,56.0,2394,5.72,5.66,3.46
50,0.75,Premium,E,SI1,61.7,60.0,3024,5.84,5.8,3.59
51,1.01,Premium,I,SI1,61.8,58.0,4185,6.45,6.37,3.96
52,0.39,Premium,E,SI1,59.1,59.0,860,4.81,4.76,2.83
53,1.5,Ideal,I,VS1,62.0,54.0,10164,7.32,7.38,4.56
54,0.6,Good,F,SI1,57.1,61.0,1599,5.68,5.57,3.21
55,0.31,Premium,G,VS1,59.9,59.0,617,4.44,4.41,2.65
56,2.01,Very Good,G,SI1,62.1,60.0,18398,7.94,8.03,4.96
57,0.43,Ideal,H,SI1,62.1,57.0,669,4.77,4.83,2.98
58,0.77,Very Good,G,SI1,63.2,57.0,2586,5.86,5.76,3.67
59,0.31,Very Good,H,VS1,63.1,57.0,698,4.34,4.31,2.73
60,0.76,Very Good,F,VS2,62.5,58.0,3238,5.79,5.83,3.63
61,1.29,Very Good,J,SI2,63.5,57.0,3884,6.89,6.87,4.37
62,1.14,Very Good,H,SI1,63.1,58.0,5458,6.69,6.6,4.19
63,0.55,Ideal,G,SI2,61.6,56.0,1358,5.28,5.31,3.26
64,1.01,Ideal,E,VS1,61.5,57.0,7589,6.44,6.47,3.97
65,1.0,Very Good,I,VS1,61.1,59.9,5009,6.37,6.41,3.9
66,0.9,Very Good,E,VS2,60.4,60.0,4707,6.23,6.29,3.78
67,0.41,Ideal,G,VVS2,61.7,55.0,1199,4.81,4.85,2.98
68,0.85,Good,J,SI1,59.2,64.0,2278,6.17,6.13,3.64
69,0.9,Fair,D,SI2,64.9,57.0,3473,6.03,5.98,3.9
70,1.5,Good,J,SI2,63.7,58.0,5107,7.19,7.13,4.56
71,0.5,Premium,D,SI1,61.1,59.0,1610,5.08,5.04,3.09
72,0.3,Very Good,H,SI1,60.8,61.0,421,4.25,4.3,2.6
73,0.34,Ideal,F,SI1,62.8,56.0,727,4.46,4.42,2.79
74,1.61,Premium,D,SI1,59.0,60.0,12231,7.68,7.6,4.51
75,1.29,Premium,H,SI2,60.1,58.0,5924,7.02,6.95,4.2
76,0.3,Ideal,G,VS1,62.0,54.0,776,4.35,4.3,2.68
77,0.91,Premium,E,VS1,62.7,59.0,5057,6.15,6.19,3.87
78,0.91,Premium,E,SI1,61.5,60.0,3911,6.19,6.24,3.82
79,0.56,Ideal,H,VS2,61.2,57.0,1388,5.29,5.33,3.25
80,0.33,Premium,D,SI1,60.0,59.0,780,4.5,4.47,2.69
81,0.31,Ideal,G,VS2,62.2,53.0,562,4.37,4.38,2.72
82,1.33,Premium,I,SI2,62.3,59.0,5765,7.01,6.98,4.36
83,1.04,Ideal,D,IF,61.8,57.0,14626,6.52,6.49,4.02
84,0.4,Ideal,J,VS1,62.1,53.0,633,4.75,4.78,2.96
85,0.77,Ideal,I,VS1,61.4,56.0,3066,5.9,5.93,3.63
86,0.33,Ideal,H,VVS2,61.9,57.0,854,4.44,4.41,2.74
87,0.51,Very Good,E,SI1,63.2,61.0,1443,5.08,5.05,3.2
88,1.15,Premium,D,SI1,61.1,53.0,7213,6.83,6.76,4.15
89,0.47,Good,E,VS1,58.3,61.2,1447,5.11,5.15,2.98
90,1.17,Ideal,F,SI1,62.2,56.0,5944,6.73,6.71,4.18
91,0.41,Premium,G,VVS2,61.6,58.0,1007,4.74,4.8,2.94
92,1.26,Premium,I,SI2,60.1,59.0,5151,7.0,6.91,4.18
93,0.31,Ideal,H,VS1,61.6,54.8,557,4.35,4.37,2.69
94,1.07,Ideal,G,VS2,61.9,55.0,7275,6.55,6.57,4.06
95,0.38,Ideal,F,I1,62.5,57.0,638,4.64,4.61,2.89
96,0.3,Premium,F,SI2,61.3,58.0,394,4.28,4.33,2.64
97,1.01,Premium,H,SI1,60.6,61.0,4320,6.39,6.35,3.86
98,0.35,Very Good,H,VVS1,62.6,57.0,798,4.45,4.47,2.79
99,1.5,Premium,E,VS1,60.3,60.0,16409,7.34,7.43,4.45
100,0.42,Ideal,H,SI1,61.7,55.0,885,4.84,4.85,2.99
101,1.16,Premium,F,VS2,62.7,58.0,7003,6.71,6.65,4.19
102,0.38,Premium,G,IF,62.5,60.0,1227,4.64,4.61,2.89
103,0.41,Premium,G,VS1,60.5,57.0,961,4.85,4.81,2.92
104,0.3,Very Good,J,VS1,63.5,58.0,506,4.27,4.24,2.7
105,1.01,Very Good,E,VS2,63.3,58.0,6516,6.38,6.35,4.03
106,0.33,Premium,G,VS1,62.3,58.0,666,4.41,4.45,2.76
107,1.01,Premium,D,SI2,62.6,60.0,4338,6.4,6.37,4.0
108,0.33,Premium,D,SI1,60.4,60.0,780,4.46,4.41,2.68
109,0.82,Very Good,I,VS1,63.6,58.9,2583,5.88,5.93,3.76
110,0.4,Ideal,E,SI1,61.2,57.0,945,4.74,4.7,2.89
111,0.92,Very Good,F,SI2,62.9,58.0,3763,6.18,6.22,3.9
112,1.15,Premium,H,SI1,60.9,57.0,5139,6.8,6.72,4.12
113,1.0,Fair,H,SI2,69.5,55.0,2875,6.17,6.1,4.26
114,1.07,Ideal,F,SI2,61.5,55.0,5240,6.56,6.62,4.05
115,1.5,Ideal,F,SI1,60.9,56.0,8770,7.43,7.36,4.5
116,1.2,Very Good,H,VS2,63.2,54.0,6423,6.73,6.78,4.27
117,0.76,Very Good,F,SI1,62.7,57.0,2533,5.81,5.86,3.66
118,0.9,Premium,G,VS2,61.7,59.0,4269,6.14,6.22,3.81
119,0.71,Ideal,E,SI1,61.7,56.0,2704,5.72,5.69,3.52
120,1.35,Premium,J,VS2,60.5,56.0,6254,7.19,7.12,4.33
121,1.16,Ideal,H,SI2,61.1,56.0,5509,6.78,6.79,4.15
122,0.7,Premium,I,VVS1,61.2,59.0,2513,5.65,5.69,3.47
123,1.02,Very Good,E,VS1,61.0,58.0,7503,6.46,6.52,3.96
124,0.36,Very Good,G,SI1,61.2,63.0,537,4.56,4.59,2.8
125,1.21,Premium,H,VS2,61.5,58.0,6710,6.82,6.78,4.18
126,0.9,Good,E,SI1,64.3,62.0,3400,6.0,6.07,3.88
127,2.31,Premium,J,SI1,61.1,60.0,15323,8.58,8.51,5.22
128,1.34,Ideal,G,SI2,61.1,56.0,7058,7.11,7.13,4.35
129,0.77,Very Good,E,SI2,60.4,58.0,3002,5.91,5.95,3.58
130,0.3,Ideal,D,SI1,62.2,56.0,709,4.3,4.25,2.66
131,2.28,Premium,J,VS2,62.4,58.0,16369,8.45,8.35,5.24
132,0.9,Very Good,G,VS2,61.5,60.0,4386,6.13,6.16,3.78
133,1.31,Premium,I,VS2,60.0,58.0,6921,7.15,7.11,4.28
134,2.01,Very Good,J,SI1,62.4,59.0,12392,8.02,8.08,5.02
135,0.73,Ideal,I,VS2,61.6,54.0,2327,5.81,5.84,3.59
136,0.3,Ideal,H,VS1,62.9,56.0,675,4.27,4.22,2.67
137,0.36,Premium,G,SI2,59.3,59.0,608,4.66,4.62,2.75
138,2.32,Ideal,H,SI1,62.6,57.0,18080,8.46,8.52,5.32
139,0.36,Premium,G,VS1,61.7,59.0,726,4.55,4.59,2.82
140,0.4,Ideal,E,VS1,61.6,56.0,1053,4.73,4.78,2.93
141,0.41,Ideal,J,VS1,61.6,55.1,674,4.75,4.8,2.95
142,1.1,Ideal,G,VS1,61.3,54.0,6535,6.69,6.65,4.09
143,0.7,Ideal,F,SI1,61.6,56.0,2319,5.73,5.67,3.51
144,0.52,Very Good,G,SI1,63.5,58.0,1170,5.14,5.1,3.25
145,1.0,Premium,I,SI1,60.5,59.0,4200,6.54,6.49,3.94
146,2.16,Ideal,H,SI1,61.9,57.0,17820,8.3,8.38,5.16
147,1.51,Ideal,J,VVS2,61.4,59.0,9334,7.34,7.39,4.52
148,0.42,Premium,G,SI1,61.7,58.0,945,4.8,4.76,2.95
149,0.41,Very Good,E,VS1,62.2,57.0,1079,4.74,4.78,2.96
150,0.74,Ideal,J,VS1,61.7,57.0,2468,5.79,5.84,3.59
151,0.55,Ideal,D,SI2,61.6,56.0,1364,5.28,5.31,3.26
152,0.71,Good,F,SI1,64.3,58.0,2258,5.61,5.55,3.59
153,0.91,Premium,H,SI1,60.9,58.0,3475,6.22,6.26,3.8
154,0.57,Ideal,G,VS1,61.4,55.0,1972,5.34,5.38,3.29
155,1.22,Ideal,F,SI2,62.5,56.2,6401,6.81,6.85,4.27
156,0.41,Premium,D,SI2,62.3,61.0,818,4.75,4.72,2.95
157,0.9,Premium,E,SI1,61.9,58.0,4209,6.17,6.1,3.8
158,0.94,Premium,G,SI1,61.9,57.0,4106,6.29,6.24,3.88
159,0.52,Ideal,I,VVS2,62.2,57.0,1316,5.18,5.11,3.2
160,0.28,Very Good,G,VVS2,62.5,53.0,522,4.18,4.21,2.62
161,0.9,Fair,H,SI2,66.0,63.0,2376,5.89,5.79,3.86
162,0.9,Very Good,J,VVS1,60.4,60.0,3746,6.23,6.28,3.78
163,0.3,Very Good,H,VS1,63.2,59.0,639,4.31,4.27,2.71
164,0.98,Premium,F,SI2,61.8,58.0,4308,6.37,6.32,3.92
165,0.32,Ideal,H,VVS1,62.9,57.0,936,4.38,4.33,2.74
166,0.52,Ideal,H,VS1,62.5,58.0,1582,5.14,5.17,3.22
167,1.0,Premium,F,SI1,59.0,59.0,4144,6.55,6.5,3.85
168,0.3,Ideal,J,VS2,61.6,56.0,384,4.31,4.33,2.66
169,0.31,Ideal,G,VVS1,61.5,54.0,789,4.36,4.39,2.69
170,1.01,Very Good,G,VS2,62.5,59.0,6204,6.34,6.37,3.97
171,0.32,Ideal,E,VS1,61.7,57.0,972,4.42,4.39,2.72
172,0.42,Ideal,F,SI2,61.7,54.0,626,4.85,4.87,3.0
173,0.3,Ideal,G,VS1,61.5,57.0,605,4.31,4.34,2.66
174,1.71,Premium,J,SI1,61.9,58.0,7757,7.62,7.56,4.7
175,1.25,Very Good,H,VS2,63.3,57.0,7525,6.87,6.82,4.33
176,1.53,Very Good,I,VS1,62.8,55.0,10602,7.35,7.4,4.63
177,1.07,Ideal,G,VS2,62.3,57.0,6558,6.58,6.54,4.09
178,0.54,Ideal,G,VS2,61.2,56.0,1605,5.25,5.26,3.22
179,1.67,Ideal,D,SI1,62.6,54.0,14154,7.57,7.63,4.76
180,0.51,Very Good,E,SI1,61.0,58.0,1343,5.1,5.13,3.12
181,1.04,Ideal,I,SI1,62.6,56.0,4543,6.55,6.48,4.08
