,name_x,name_y,value,source,target
0,KK101,NJW1004,924,0.0,319.0
1,whgu0172,immd0237,29,1.0,2.0
2,whgu0172,clme0240,9,1.0,3.0
3,whgu0172,whgu0378,2,1.0,4.0
4,whgu0172,whgu0274,4,1.0,5.0
5,whgu0172,clme0220,6,1.0,38.0
6,immd0237,clme0240,31,2.0,3.0
7,immd0237,whgu0378,15,2.0,4.0
8,immd0237,whgu0274,7,2.0,5.0
9,immd0237,clme0220,6,2.0,38.0
10,clme0240,whgu0378,7,3.0,4.0
11,clme0240,whgu0274,3,3.0,5.0
12,clme0240,clme0220,2,3.0,38.0
13,whgu0378,whgu0274,12,4.0,5.0
14,whgu0378,clme0220,2,4.0,38.0
15,whgu0274,clme0220,2,5.0,38.0
16,KH387,CJW53,5,6.0,137.0
17,radi0003,clme0975,10,7.0,31.0
18,HL316,SR504,9,8.0,394.0
19,ndos0461,gree1192,2,9.0,10.0
20,ndos0461,DEN22,75,9.0,11.0
21,ndos0461,AA461,16,9.0,12.0
22,ndos0461,DFE20,15,9.0,72.0
23,gree1192,DEN22,8,10.0,11.0
24,gree1192,AA461,15,10.0,12.0
25,gree1192,DFE20,17,10.0,72.0
26,DEN22,AA461,27,11.0,12.0
27,DEN22,DFE20,28,11.0,72.0
28,AA461,DFE20,46,12.0,72.0
29,CC234,AMD24,12,13.0,14.0
30,CC234,HME22,30,13.0,15.0
31,CC234,PP10001,68,13.0,16.0
32,CC234,QG209,11,13.0,17.0
33,CC234,DFE20,15,13.0,72.0
34,AMD24,HME22,7,14.0,15.0
35,AMD24,PP10001,168,14.0,16.0
36,AMD24,QG209,9,14.0,17.0
37,AMD24,DFE20,160,14.0,72.0
38,HME22,PP10001,20,15.0,16.0
39,HME22,QG209,7,15.0,17.0
40,HME22,DFE20,3,15.0,72.0
41,PP10001,QG209,17,16.0,17.0
42,PP10001,DFE20,210,16.0,72.0
43,QG209,DFE20,14,17.0,72.0
44,cschof,wolf1833,20,18.0,212.0
45,st321,JDB1003,5,19.0,103.0
46,MEW10,YYSH2,2,20.0,414.0
47,raob0097,clme0667,8,21.0,106.0
48,KBK21,NJW1004,4,22.0,319.0
49,card0025,card0018,33,23.0,24.0
50,card0025,card0039,51,23.0,25.0
51,card0025,bioc0192,14,23.0,94.0
52,card0018,card0039,64,24.0,25.0
53,card0018,bioc0192,142,24.0,94.0
54,card0039,bioc0192,61,25.0,94.0
55,raob0072,raob0168,2,26.0,192.0
56,clme0494,wolf1917,13,27.0,195.0
57,TDF21,FIA20,41,28.0,360.0
58,immd0151,clme0237,29,29.0,77.0
59,chri0963,phys0101,17,30.0,33.0
60,clme0975,clme0220,13,31.0,38.0
61,CC234,CJW53,4,13.0,137.0
62,clab0035,clme0135,2,32.0,37.0
